"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 26 07:51:45 UTC 2026","Sun Apr 26 07:52:11 UTC 2026","26281","","tests.home.HomePageTest","","tests.home.HomePageTest","verifyNavigationToFlightBookingPage","verifyNavigationToFlightBookingPage()",""
"passed","Sun Apr 26 07:52:16 UTC 2026","Sun Apr 26 07:52:40 UTC 2026","24632","","tests.home.HomePageTest","","tests.home.HomePageTest","verifyNavigationToLoginPage","verifyNavigationToLoginPage()",""
"passed","Sun Apr 26 07:51:20 UTC 2026","Sun Apr 26 07:51:45 UTC 2026","24542","","tests.home.HomePageTest","","tests.home.HomePageTest","verifyNavigationToDisruptionsPage","verifyNavigationToDisruptionsPage()",""
"passed","Sun Apr 26 07:51:06 UTC 2026","Sun Apr 26 07:51:30 UTC 2026","23699","","tests.home.HomePageTest","","tests.home.HomePageTest","verifyNavigationToStaysBookingPage","verifyNavigationToStaysBookingPage()",""
"passed","Sun Apr 26 07:50:34 UTC 2026","Sun Apr 26 07:51:06 UTC 2026","32277","","tests.home.HomePageTest","","tests.home.HomePageTest","verifyAllQuickSearchTabsAreVisible","verifyAllQuickSearchTabsAreVisible()",""
"passed","Sun Apr 26 07:51:57 UTC 2026","Sun Apr 26 07:52:23 UTC 2026","25968","","tests.home.HomePageTest","","tests.home.HomePageTest","verifyHomePageIsLoaded","verifyHomePageIsLoaded()",""
"passed","Sun Apr 26 07:51:31 UTC 2026","Sun Apr 26 07:51:57 UTC 2026","26565","","tests.home.HomePageTest","","tests.home.HomePageTest","verifyNavigationToBlogsPage","verifyNavigationToBlogsPage()",""
"passed","Sun Apr 26 07:49:48 UTC 2026","Sun Apr 26 07:50:26 UTC 2026","37087","","tests.signup.tests.agent.AgentSignupTest","","tests.signup.tests.agent.AgentSignupTest","verifyConfirmPasswordInputValidation","verifyConfirmPasswordInputValidation()",""
"passed","Sun Apr 26 07:49:39 UTC 2026","Sun Apr 26 07:50:16 UTC 2026","37557","","tests.signup.tests.customer.CustomerSignupTest","","tests.signup.tests.customer.CustomerSignupTest","verifyEmailInputValidation","verifyEmailInputValidation()",""
"passed","Sun Apr 26 07:50:57 UTC 2026","Sun Apr 26 07:51:21 UTC 2026","23945","","tests.home.HomePageTest","","tests.home.HomePageTest","verifyNavigationToPrivacyPolicyPage","verifyNavigationToPrivacyPolicyPage()",""
"passed","Sun Apr 26 07:50:15 UTC 2026","Sun Apr 26 07:50:32 UTC 2026","16990","","tests.signup.tests.customer.CustomerSignupTest","","tests.signup.tests.customer.CustomerSignupTest","verifyPasswordInputValidation","verifyPasswordInputValidation()",""
"passed","Sun Apr 26 07:50:41 UTC 2026","Sun Apr 26 07:51:06 UTC 2026","24683","","tests.home.HomePageTest","","tests.home.HomePageTest","verifyNavigationToTermsOfUsePage","verifyNavigationToTermsOfUsePage()",""
"passed","Sun Apr 26 07:50:10 UTC 2026","Sun Apr 26 07:50:34 UTC 2026","24255","","tests.home.HomePageTest","","tests.home.HomePageTest","verifyNavigationToCarsBookingPage","verifyNavigationToCarsBookingPage()",""
"passed","Sun Apr 26 07:49:36 UTC 2026","Sun Apr 26 07:50:05 UTC 2026","28827","","tests.home.HomePageTest","","tests.home.HomePageTest","verifyNavigationToCareersPage","verifyNavigationToCareersPage()",""
"passed","Sun Apr 26 07:52:48 UTC 2026","Sun Apr 26 07:53:09 UTC 2026","20623","","tests.home.HomePageTest","","tests.home.HomePageTest","verifyNavigationToToursBookingPage","verifyNavigationToToursBookingPage()",""
"passed","Sun Apr 26 07:50:56 UTC 2026","Sun Apr 26 07:51:20 UTC 2026","24246","","tests.home.HomePageTest","","tests.home.HomePageTest","verifyNavigationToRefundPolicyPage","verifyNavigationToRefundPolicyPage()",""
"passed","Sun Apr 26 07:49:48 UTC 2026","Sun Apr 26 07:50:27 UTC 2026","38781","","tests.signup.tests.agent.AgentSignupTest","","tests.signup.tests.agent.AgentSignupTest","verifyEmailInputValidation","verifyEmailInputValidation()",""
"passed","Sun Apr 26 07:51:50 UTC 2026","Sun Apr 26 07:52:16 UTC 2026","25687","","tests.home.HomePageTest","","tests.home.HomePageTest","verifyNavigationToCustomerSignupPage","verifyNavigationToCustomerSignupPage()",""
"passed","Sun Apr 26 07:51:57 UTC 2026","Sun Apr 26 07:52:22 UTC 2026","25293","","tests.home.HomePageTest","","tests.home.HomePageTest","verifyNavigationToAboutUsPage","verifyNavigationToAboutUsPage()",""
